WalletAddress,MintAddressCount,Status,ErrorDetails
"3f7Qn4zi4Gx9HEVkVnM4MtFHPAQHqTU932SoekHpC9EX",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"5V3Jvvg4RPwzBsmjwqVPR51cH4SGEdM52nvPgp9zUQtZ",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"F7hKTyEmUV2BeZzU87Zgy8Za1dibi5uQqi8Z8M1qeSbN",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"EPyYUuR4SYbrfPBGbDvpgVdLvWyRkUNJXTkgxmkK7GT2",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"ArNSqcYcVUCDuMeiKCqKcZxdwKNZeDXJtakbnHa5wKzK",0,"Success (No Mints)",""
"4ckKr3BuJWQekeKwYR4VGP13fbWsc5mv8HDeGZaw2mp8",0,"Success (No Mints)",""
"27J9gk348ECZ8or9dsTwbqrNXAbD38rmBwYKqNF12pWV",0,"Success (No Mints)",""
"86aP6gRJfQfexq1282QmQT9j976aAjFk1uk1H1GnURMZ",0,"Success (No Mints)",""
"9Q4xjtCVWrVBv1QrMP17yyX7rtecYJRNBMrHJzz3EpPr",0,"Success (No Mints)",""
"AMs56LgoNdKKvwHs96Z6czdFkZtp2f6PihTgPxB8aby8",0,"Success (No Mints)",""
"DGmWmkKTu8KHveEvwVNVdxmHJVKns6C5ABxEifgQB1D1",0,"Success (No Mints)",""
"5AhEndzkhX1GKYVLDmqNM1yhyG8VL2CfnVne1nWqcvna",0,"Success (No Mints)",""
"8g4Z9d6PqGkgH31tMW6FwxGhwYJrXpxZHQrkikpLJKrG",0,"Success (No Mints)",""
"AStSD9BU3X3YDhVwiuB8eTuTmRLCyM45eZzL3vFr1wZT",0,"Success (No Mints)",""
"2eorqT8QYCEzGiU3Y4a8f53DTcdm8HJY6XGyrAgqees3",0,"Success (No Mints)",""
"4hNH4anK624p9nV4VpoLxsXZ83u1LzFFrk9LH1UFWhBP",0,"Success (No Mints)",""
"GknxyA58mSZ58aEePWFzeZpJjSCmRUtvSVKmCRCxvWJ",0,"Success (No Mints)",""
"Fu6HipW7Pg1SocoQDVrLbPWiKxJdYaVukrEo5MvPoJvQ",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"DxGkf2RcRnFfrfKgi2pu93p5CizbXCUmsaLNULXaNfYg",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"35WdsnaXcUDmV2VhBJdqDJcoKG4qnyBfpFvVFAXjEMka",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"42dxT3RWNkBs9sWFumgrKw7CZENbrDiYB93HddzNANrx",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"HVN4UrskVdFBHHg5mLJJszJDjBzBBxgmk8TewVK8h8KY",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"HMgHvp9YHhs9pJVhoWiT9k9HqyuDAvseicTJc6TkkNeS",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"Ey2Qiznegp2WeDYHLo8rrDdxQcJq5dhr3wLcnNGBbmEJ",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"BxKwudgjFvfr2jmsm9b2sBdVxaorxAd9A2EXnpj9LkAj",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"8H39Et6W5prQJy5vBvgwKYnbD4SsvrB1CiVKVp6XPFzh",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"EV72ZVpAnd9tgSa9gwLSdA3B6Xwp5nSy7FNMnSrNb7Cr",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"8RBxy57BV7xp85SqUybSCGhHAo83G3scHCHyEv3zhwKD",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"3hajDtktW9UD8TqVpvgSY64jDMJ21i3V6HG695th2AqF",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"AoFcgbX8jqGCD61EuHpHmuSYB31haaPFz4a9prh9zRBN",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"GnLv2C6wYDe9wbcRZZTE9AD4CRJhwGucXJD4ronuV6Z5",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"7VGU4ZwR1e1AFekqbqv2gvjeg47e1PwMPm4BfLt6rxNk",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"2aqJDEPstgZ7Bf87EEbxzoXzM6YTpT5jh6UNoHS3gFFf",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"4oaWHXGKafK81hFNVdMY5mpfFDcjjkm4MBpDSSBXmpzS",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"HCLzhmhjPbYjDKuP5GreD3vJt8oWPQqdbdT8G9pztWVC",0,"Success (No Mints)",""
"BgFjmXQqCeUGUmqqLvYUjtZR1c1p7cvFekwNJMgXACUg",0,"Success (No Mints)",""
"GWgzb7ZSCtNTJhD2Zq8xCrhabiDMAvemecuCDDi9uDPz",0,"Success (No Mints)",""
"Fxg4MPZofaNYpVAH14X84NnaCscgNQHDWfVxGuQvEH8e",0,"Success (No Mints)",""
"FbuiH9maqvPpfJVaPa78RMmhzJ81M5ZoZU6Wr4SoaEsj",0,"Success (No Mints)",""
"At2q5xKViCKk5ecLQQ69zNS8uQjwPQ1m7bQtVhPpBiKU",0,"Success (No Mints)",""
"5iWqJSPXmtUaddciaSoH31tdBu2G2RzPVv4SFXAW1WQi",0,"Success (No Mints)",""
"7GHxvtmP5GPqyWVwJFEVsPS5Qtm8Q9DzZv9DhTs7Vbg2",0,"Success (No Mints)",""
"7MVCT5ahTkXYNNYsKyusxdABy5Tckv8mRhiTsEEHDihj",0,"Success (No Mints)",""
"2DCCXMnfLtksTMym5TPVuS63XXAZSfk9YyS1tUdss7oQ",0,"Success (No Mints)",""
